fileNameGoal,word,style,vowel,prec_seg,fol_seg,duration,F1@0%,F1@10%,F1@20%,F1@30%,F1@40%,F1@50%,F1@60%,F1@70%,F1@80%,F1@90%,F1@100%,F2@0%,F2@10%,F2@20%,F2@30%,F2@40%,F2@50%,F2@60%,F2@70%,F2@80%,F2@90%,F2@100%
013_FY_20190705-GOAL,so,interview,OWL1,S,AY1,0.14,453.3483072,499.6256471,539.9216179,553.973406,522.0934587,515.0915588,473.6519201,505.2176014,494.159367,615.6181796,717.0126587,2045.993034,2008.40859,2000.288278,2029.414462,1811.211347,1833.441574,1920.534601,1743.350607,1633.840777,1440.680171,1408.374303
013_FY_20190705-GOAL,so,interview,OWL1,S,AY1,0.08,470.035074,481.7578776,499.9620999,471.7740925,435.2402243,481.8329437,556.11996,605.2781981,638.9347498,690.2449461,755.9477831,1824.338526,1810.936371,1735.15802,1680.371977,1675.029199,1661.219571,1611.896808,1569.213667,1539.498072,1541.324828,1565.207677
013_FY_20190705-GOAL,so,interview,OWL1,S,AY1,0.14,464.2529485,474.8944896,484.0703827,509.4337289,538.5472619,493.0426172,436.4443364,425.461905,462.1043528,562.5975483,678.5566252,1959.542728,1921.733385,1881.783969,1846.567361,1792.208881,1793.339764,1700.718776,1558.126968,1544.294587,1474.223864,1476.678442
013_FY_20190705-GOAL,so,interview,OWL1,S,AY1,0.09,524.5016736,550.0077197,516.6523605,549.662359,587.7178157,634.1056653,656.7882859,539.0664899,585.5302391,626.6248724,673.8538383,1742.831966,1732.365323,1735.179174,1764.448951,1865.031764,1944.725226,1939.000714,1864.437592,1722.952781,1691.233991,1551.040523
013_FY_20190705-GOAL,whole,interview,OWL1,HH,T,0.28,916.1972792,604.2572705,590.9864647,559.6325462,510.3780816,449.3201779,422.2761023,438.1438662,401.0975288,409.5353079,641.2407515,1601.25186,1045.89095,906.3294485,970.5522038,955.7749414,1023.883489,1018.816213,901.6833147,1053.948047,1049.524305,1780.017688
013_FY_20190705-GOAL,whole,interview,OWL1,HH,W,0.06,605.1672868,664.0388441,676.5273139,661.6717178,664.1350646,711.4311529,682.8886163,642.5924664,636.4062279,617.761582,591.1718348,1868.065895,1889.044222,1842.273168,1879.427812,1900.798151,1943.714455,1808.552916,1723.836201,1615.350677,1518.732552,1421.177801
013_FY_20190705-GOAL,so,interview,OWL1,S,AY1,0.09,456.101567,475.172532,495.130945,456.7405534,392.035737,391.8719472,448.6694635,502.9182991,537.1912759,626.0987341,713.9060988,1744.556142,1705.732146,1650.644632,1626.862234,1568.807616,1567.164645,1498.160095,1390.845609,1334.086006,1368.618144,1419.414685
013_FY_20190705-GOAL,so,interview,OWL1,S,AY1,0.11,491.9949926,486.7755719,473.7599542,480.33674,476.3116467,438.0837187,441.6628126,452.1431078,495.7835925,661.9809741,726.7699501,1773.44509,1787.196796,1721.297356,1664.190786,1670.607807,1562.317326,1511.839066,1482.059366,1441.07344,1458.456593,1498.979724
013_FY_20190705-GOAL,so,interview,OWL1,S,AY1,0.12,479.3815728,534.6307422,559.7854254,561.8381643,545.8546774,501.9647899,435.7487185,428.3150365,459.2219097,644.9872733,702.707202,1924.124223,1964.622904,1980.074638,1932.588656,1839.736923,1717.816376,1710.847146,1587.479148,1501.302955,1469.707662,1493.435809
013_FY_20190705-GOAL,so,interview,OWL1,S,AY1,0.08,583.1858349,586.8809739,586.6664416,558.9121446,531.5514737,505.8094647,507.0314791,524.1269235,574.1789201,642.7862636,701.2290449,1628.017116,1598.542317,1594.038212,1577.842241,1611.073111,1530.196633,1493.324939,1474.437754,1426.864112,1429.126236,1434.508776
